payment_id,purchase_id,amount_paid
1,1,0.00
2,2,0.00
3,8,0.00
4,9,0.00
5,11,0.00
6,13,0.00
7,33,0.00
8,36,0.00
9,43,0.00
10,44,0.00
11,212,0.00
12,213,0.00
13,214,0.00
14,215,0.00
15,221,0.00
16,222,0.00
17,224,0.00
18,226,0.00
19,240,0.00
20,241,0.00
21,242,0.00
22,243,0.00
23,269,0.00
24,270,0.00
25,271,0.00
26,272,0.00
27,293,0.00
28,294,0.00
29,295,0.00
30,296,0.00
31,341,0.00
32,343,0.00
33,344,0.00
34,345,0.00
35,6566,0.00
36,3,0.00
37,4,0.00
38,5,0.00
39,3648,0.00
40,6050,0.00
41,11072,0.00
42,11132,0.00
43,6,0.00
44,3684,0.00
45,6575,0.00
46,6872,0.00
47,9019,0.00
48,7,0.00
49,12281,0.00
50,10,0.00
51,1237,0.00
52,1308,0.00
53,2577,0.00
54,3826,0.00
55,4220,0.00
56,12,0.00
57,2665,0.00
58,4150,0.00
59,4433,0.00
60,4493,0.00
61,4874,0.00
62,8545,0.00
63,8972,0.00
64,9392,0.00
65,9799,0.00
66,9803,0.00
67,11483,0.00
68,11997,0.00
69,14,0.00
70,4426,0.00
71,5673,0.00
72,5675,0.00
73,5697,0.00
74,6381,0.00
75,7468,0.00
76,7959,0.00
77,9749,0.00
78,11658,0.00
79,15,0.00
80,480,0.00
81,482,0.00
82,6603,0.00
83,12580,0.00
84,16,0.00
85,19,0.00
86,753,0.00
87,1335,0.00
88,1337,0.00
89,1625,0.00
90,2109,0.00
91,2110,0.00
92,2281,0.00
93,2564,0.00
94,2952,0.00
95,2953,0.00
96,3268,0.00
97,3468,0.00
98,3712,0.00
99,3918,0.00
100,4116,0.00
101,4289,0.00
102,4373,0.00
103,4545,0.00
104,4547,0.00
105,4722,0.00
106,4941,0.00
107,4947,0.00
108,5267,0.00
109,5812,0.00
110,5862,0.00
111,6061,0.00
112,6429,0.00
113,6667,0.00
114,6919,0.00
115,7244,0.00
116,7598,0.00
117,7957,0.00
118,8329,0.00
119,8331,0.00
120,8596,0.00
121,9038,0.00
122,9156,0.00
123,9226,0.00
124,11679,0.00
125,11680,0.00
126,11681,0.00
127,11687,0.00
128,12023,0.00
129,12778,0.00
130,12780,0.00
131,17,0.00
132,744,0.00
133,747,0.00
134,1507,0.00
135,2395,0.00
136,2396,0.00
137,2900,0.00
138,2901,0.00
139,3480,0.00
140,3482,0.00
141,3853,0.00
142,4537,0.00
143,4953,0.00
144,5696,0.00
145,6412,0.00
146,6801,0.00
147,6887,0.00
148,6888,0.00
149,7677,0.00
150,7869,0.00
151,8118,0.00
152,8719,0.00
153,8721,0.00
154,9215,0.00
155,10329,0.00
156,11265,0.00
157,11266,0.00
158,12377,0.00
159,12378,0.00
160,18,0.00
161,6778,0.00
162,20,0.00
163,21,0.00
164,22,0.00
165,23,0.00
166,389,0.00
167,2501,0.00
168,2502,0.00
169,3005,0.00
170,3391,0.00
171,3392,0.00
172,4209,0.00
173,4594,0.00
174,4595,0.00
175,4922,0.00
176,6178,0.00
177,6179,0.00
178,6636,0.00
179,7348,0.00
180,9332,0.00
181,9333,0.00
182,9334,0.00
183,9740,0.00
184,10424,0.00
185,10425,0.00
186,10426,0.00
187,12834,0.00
188,24,0.00
189,10186,0.00
190,26,0.00
191,2708,0.00
192,5417,0.00
193,7054,0.00
194,7822,0.00
195,27,0.00
196,1050,0.00
197,1107,0.00
198,2384,0.00
199,3487,0.00
200,3530,0.00
201,5768,0.00
202,5886,0.00
203,7498,0.00
204,7499,0.00
205,7522,0.00
206,9338,0.00
207,9418,0.00
208,10496,0.00
209,10906,0.00
210,10909,0.00
211,12957,0.00
