item_id,purchase_id,product_id,Quantity,UnitPrice
1,1,3264,8,2.75
2,1,3502,8,2.75
3,1,3456,6,3.39
4,1,2992,6,3.39
5,11,51,6,1.06
6,43,51,6,1.06
7,45,305,12,1.95
8,53,409,4,2.10
9,57,101,12,1.45
10,66,553,12,0.42
11,83,92,12,1.95
12,89,127,2,2.95
13,99,903,1,8.47
14,98,903,1,8.47
15,97,903,1,8.47
16,96,903,1,8.47
17,95,903,1,8.47
18,99,904,1,8.47
19,98,904,1,8.47
20,97,904,1,8.47
21,96,904,1,8.47
22,95,904,1,8.47
23,99,167,1,9.95
24,98,167,1,9.95
25,97,167,1,9.95
26,96,167,1,9.95
27,95,167,1,9.95
28,165,278,12,1.25
29,168,1118,1,1.25
31,170,1126,4,4.95
32,170,3452,4,4.95
33,200,974,1,0.43
34,199,974,1,0.43
35,198,974,1,0.43
36,197,974,1,0.43
37,196,974,1,0.43
38,200,1173,2,5.06
39,200,3112,2,5.06
40,199,1173,2,5.06
41,199,3112,2,5.06
42,198,1173,2,5.06
43,198,3112,2,5.06
44,197,1173,2,5.06
45,197,3112,2,5.06
46,196,1173,2,5.06
47,196,3112,2,5.06
48,200,1022,8,1.66
49,199,1022,8,1.66
50,198,1022,8,1.66
51,197,1022,8,1.66
52,196,1022,8,1.66
53,200,1204,1,2.51
54,200,3661,1,2.51
55,199,1204,1,2.51
56,199,3661,1,2.51
57,198,1204,1,2.51
58,198,3661,1,2.51
59,197,1204,1,2.51
60,197,3661,1,2.51
61,196,1204,1,2.51
62,196,3661,1,2.51
63,235,1370,12,0.42
64,239,629,12,2.95
65,246,296,20,1.65
66,259,65,2,3.75
67,259,3298,2,3.75
68,259,3303,2,3.75
69,276,306,12,2.10
70,286,303,1,1.25
71,297,330,2,1.25
72,348,58,12,3.95
73,348,2436,12,3.95
74,376,559,-1,1.25
75,377,1262,8,1.95
76,391,1024,2,6.75
77,395,53,4,5.95
78,395,3528,4,5.95
79,397,1138,48,0.42
80,400,267,10,1.65
81,404,128,2,1.65
82,404,3581,2,1.65
83,424,128,1,4.21
84,424,3581,1,4.21
85,423,128,1,4.21
86,423,3581,1,4.21
87,422,128,1,4.21
88,422,3581,1,4.21
89,421,128,1,4.21
90,421,3581,1,4.21
91,420,128,1,4.21
92,420,3581,1,4.21
93,424,194,2,8.47
94,424,2898,2,8.47
95,423,194,2,8.47
96,423,2898,2,8.47
97,422,194,2,8.47
98,422,2898,2,8.47
99,421,194,2,8.47
100,421,2898,2,8.47
101,420,194,2,8.47
102,420,2898,2,8.47
103,446,1670,2,3.36
104,445,1670,2,3.36
105,444,1670,2,3.36
106,443,1670,2,3.36
107,442,1670,2,3.36
108,446,266,1,4.21
109,445,266,1,4.21
110,444,266,1,4.21
111,443,266,1,4.21
112,442,266,1,4.21
113,446,1274,1,4.21
114,445,1274,1,4.21
115,444,1274,1,4.21
116,443,1274,1,4.21
117,442,1274,1,4.21
118,446,649,4,3.36
119,445,649,4,3.36
120,444,649,4,3.36
121,443,649,4,3.36
122,442,649,4,3.36
123,446,1032,2,8.47
124,445,1032,2,8.47
125,444,1032,2,8.47
126,443,1032,2,8.47
127,442,1032,2,8.47
128,446,792,1,3.36
129,446,3576,1,3.36
130,445,792,1,3.36
131,445,3576,1,3.36
132,444,792,1,3.36
133,444,3576,1,3.36
134,443,792,1,3.36
135,443,3576,1,3.36
136,442,792,1,3.36
137,442,3576,1,3.36
138,463,1752,8,0.85
139,463,3592,8,0.85
140,462,1752,8,0.85
141,462,3592,8,0.85
142,461,1752,8,0.85
143,461,3592,8,0.85
144,460,1752,8,0.85
145,460,3592,8,0.85
146,459,1752,8,0.85
147,459,3592,8,0.85
148,503,742,2,16.98
149,502,742,2,16.98
150,501,742,2,16.98
151,500,742,2,16.98
152,499,742,2,16.98
153,503,219,31,12.72
154,502,219,31,12.72
155,501,219,31,12.72
156,500,219,31,12.72
157,499,219,31,12.72
158,656,127,1,2.95
159,678,893,-6,0.00
160,678,1865,-6,0.00
161,677,893,-6,0.00
162,677,1865,-6,0.00
163,676,893,-6,0.00
164,676,1865,-6,0.00
165,675,893,-6,0.00
166,675,1865,-6,0.00
167,674,893,-6,0.00
168,674,1865,-6,0.00
169,680,278,12,1.25
170,686,1377,8,1.95
171,708,139,2,1.65
172,719,714,2,2.95
173,723,557,4,4.95
174,728,291,1,0.55
175,728,510,4,0.85
176,728,267,2,1.65
177,731,522,5,1.65
178,737,289,1,1.25
179,737,1763,1,0.85
180,739,423,14,2.10
181,739,451,4,1.45
182,746,66,12,0.85
183,746,736,8,3.75
184,754,1976,1,2.10
185,770,46,4,18.00
186,770,2991,4,18.00
187,772,810,40,2.55
188,774,123,10,6.45
189,774,797,12,1.25
190,784,296,10,1.65
191,786,1106,7,0.85
