purchases_id,BillNumber,BillDate,client_id
1,536365,"2010-12-01 08:26:00",1
2,536366,"2010-12-01 08:28:00",1
3,536367,"2010-12-01 08:34:00",2
4,536368,"2010-12-01 08:34:00",2
5,536369,"2010-12-01 08:35:00",2
6,536370,"2010-12-01 08:45:00",3
7,536371,"2010-12-01 09:00:00",4
8,536372,"2010-12-01 09:01:00",1
9,536373,"2010-12-01 09:02:00",1
10,536374,"2010-12-01 09:09:00",5
11,536375,"2010-12-01 09:32:00",1
12,536376,"2010-12-01 09:32:00",6
13,536377,"2010-12-01 09:34:00",1
14,536378,"2010-12-01 09:37:00",7
15,536380,"2010-12-01 09:41:00",8
16,536381,"2010-12-01 09:41:00",9
17,C536379,"2010-12-01 09:41:00",10
18,536382,"2010-12-01 09:45:00",11
19,C536383,"2010-12-01 09:49:00",9
20,536384,"2010-12-01 09:53:00",12
21,536385,"2010-12-01 09:56:00",13
22,536386,"2010-12-01 09:57:00",14
23,536387,"2010-12-01 09:58:00",14
24,536388,"2010-12-01 09:59:00",15
25,536389,"2010-12-01 10:03:00",1589
26,536389,"2010-12-01 10:03:00",16
27,536390,"2010-12-01 10:19:00",17
28,C536391,"2010-12-01 10:24:00",18
29,536392,"2010-12-01 10:29:00",19
30,536393,"2010-12-01 10:37:00",20
31,536394,"2010-12-01 10:39:00",21
32,536395,"2010-12-01 10:47:00",22
33,536396,"2010-12-01 10:51:00",1
34,536397,"2010-12-01 10:51:00",23
35,536398,"2010-12-01 10:52:00",24
36,536399,"2010-12-01 10:52:00",1
37,536400,"2010-12-01 10:53:00",24
38,536401,"2010-12-01 11:21:00",25
39,536402,"2010-12-01 11:22:00",26
40,536403,"2010-12-01 11:27:00",27
41,536404,"2010-12-01 11:29:00",28
42,536405,"2010-12-01 11:32:00",29
43,536406,"2010-12-01 11:33:00",1
44,536407,"2010-12-01 11:34:00",1
45,536408,"2010-12-01 11:41:00",30
46,536409,"2010-12-01 11:45:00",31
47,536412,"2010-12-01 11:49:00",32
48,536414,"2010-12-01 11:52:00",1256
49,536414,"2010-12-01 11:52:00",1051
50,536414,"2010-12-01 11:52:00",915
51,536414,"2010-12-01 11:52:00",225
52,536414,"2010-12-01 11:52:00",33
53,536415,"2010-12-01 11:57:00",34
54,536416,"2010-12-01 11:58:00",35
55,536420,"2010-12-01 12:03:00",36
56,536423,"2010-12-01 12:08:00",37
57,536425,"2010-12-01 12:08:00",38
58,536437,"2010-12-01 12:12:00",39
59,536446,"2010-12-01 12:15:00",40
60,536460,"2010-12-01 12:22:00",41
61,536463,"2010-12-01 12:22:00",41
62,536464,"2010-12-01 12:23:00",42
63,536466,"2010-12-01 12:23:00",41
64,536477,"2010-12-01 12:27:00",43
65,536488,"2010-12-01 12:31:00",44
66,536500,"2010-12-01 12:35:00",45
67,536502,"2010-12-01 12:36:00",46
68,536508,"2010-12-01 12:38:00",47
69,C536506,"2010-12-01 12:38:00",44
70,536514,"2010-12-01 12:40:00",48
71,536520,"2010-12-01 12:43:00",49
72,536521,"2010-12-01 12:48:00",50
73,536522,"2010-12-01 12:49:00",51
74,536523,"2010-12-01 12:50:00",52
75,536524,"2010-12-01 12:51:00",53
76,536525,"2010-12-01 12:54:00",54
77,536526,"2010-12-01 12:58:00",55
78,536527,"2010-12-01 13:04:00",56
79,536528,"2010-12-01 13:17:00",57
80,536529,"2010-12-01 13:20:00",58
81,536530,"2010-12-01 13:21:00",59
82,536531,"2010-12-01 13:23:00",60
83,536532,"2010-12-01 13:24:00",61
84,536533,"2010-12-01 13:31:00",62
85,536534,"2010-12-01 13:33:00",63
86,536535,"2010-12-01 13:38:00",64
87,536536,"2010-12-01 13:45:00",65
88,536537,"2010-12-01 13:51:00",66
89,536538,"2010-12-01 13:54:00",67
90,536539,"2010-12-01 14:03:00",68
91,536540,"2010-12-01 14:05:00",69
92,536541,"2010-12-01 14:05:00",69
93,536542,"2010-12-01 14:11:00",70
94,C536543,"2010-12-01 14:30:00",71
95,536544,"2010-12-01 14:32:00",1256
96,536544,"2010-12-01 14:32:00",1051
97,536544,"2010-12-01 14:32:00",915
98,536544,"2010-12-01 14:32:00",225
99,536544,"2010-12-01 14:32:00",33
100,536545,"2010-12-01 14:32:00",1256
101,536545,"2010-12-01 14:32:00",1051
102,536545,"2010-12-01 14:32:00",915
103,536545,"2010-12-01 14:32:00",225
104,536545,"2010-12-01 14:32:00",33
105,536546,"2010-12-01 14:33:00",1256
106,536546,"2010-12-01 14:33:00",1051
107,536546,"2010-12-01 14:33:00",915
108,536546,"2010-12-01 14:33:00",225
109,536546,"2010-12-01 14:33:00",33
110,536547,"2010-12-01 14:33:00",1256
111,536547,"2010-12-01 14:33:00",1051
112,536547,"2010-12-01 14:33:00",915
113,536547,"2010-12-01 14:33:00",225
114,536547,"2010-12-01 14:33:00",33
115,C536548,"2010-12-01 14:33:00",72
116,536549,"2010-12-01 14:34:00",1256
117,536549,"2010-12-01 14:34:00",1051
118,536549,"2010-12-01 14:34:00",915
119,536549,"2010-12-01 14:34:00",225
120,536549,"2010-12-01 14:34:00",33
121,536550,"2010-12-01 14:34:00",1256
122,536550,"2010-12-01 14:34:00",1051
123,536550,"2010-12-01 14:34:00",915
124,536550,"2010-12-01 14:34:00",225
125,536550,"2010-12-01 14:34:00",33
126,536551,"2010-12-01 14:34:00",73
127,536552,"2010-12-01 14:34:00",1256
128,536552,"2010-12-01 14:34:00",1051
129,536552,"2010-12-01 14:34:00",915
130,536552,"2010-12-01 14:34:00",225
131,536552,"2010-12-01 14:34:00",33
132,536553,"2010-12-01 14:35:00",1256
133,536553,"2010-12-01 14:35:00",1051
134,536553,"2010-12-01 14:35:00",915
135,536553,"2010-12-01 14:35:00",225
136,536553,"2010-12-01 14:35:00",33
137,536554,"2010-12-01 14:35:00",1256
138,536554,"2010-12-01 14:35:00",1051
139,536554,"2010-12-01 14:35:00",915
140,536554,"2010-12-01 14:35:00",225
141,536554,"2010-12-01 14:35:00",33
142,536555,"2010-12-01 14:37:00",1256
143,536555,"2010-12-01 14:37:00",1051
144,536555,"2010-12-01 14:37:00",915
145,536555,"2010-12-01 14:37:00",225
146,536555,"2010-12-01 14:37:00",33
147,536556,"2010-12-01 14:38:00",74
148,536557,"2010-12-01 14:41:00",71
149,536558,"2010-12-01 14:48:00",1256
150,536558,"2010-12-01 14:48:00",1051
151,536558,"2010-12-01 14:48:00",915
152,536558,"2010-12-01 14:48:00",225
153,536558,"2010-12-01 14:48:00",33
154,536559,"2010-12-01 14:54:00",75
155,536560,"2010-12-01 15:00:00",76
156,536561,"2010-12-01 15:06:00",77
157,536562,"2010-12-01 15:08:00",78
158,536563,"2010-12-01 15:08:00",79
159,536564,"2010-12-01 15:08:00",78
160,536565,"2010-12-01 15:15:00",1256
161,536565,"2010-12-01 15:15:00",1051
162,536565,"2010-12-01 15:15:00",915
163,536565,"2010-12-01 15:15:00",225
164,536565,"2010-12-01 15:15:00",33
165,536566,"2010-12-01 15:21:00",80
166,536567,"2010-12-01 15:27:00",81
167,536568,"2010-12-01 15:28:00",81
168,536569,"2010-12-01 15:35:00",82
169,536570,"2010-12-01 15:35:00",83
170,536571,"2010-12-01 15:37:00",84
171,536572,"2010-12-01 15:40:00",85
172,536573,"2010-12-01 15:45:00",86
173,536574,"2010-12-01 15:46:00",86
174,536575,"2010-12-01 16:01:00",87
175,536576,"2010-12-01 16:11:00",87
176,536577,"2010-12-01 16:13:00",87
177,536578,"2010-12-01 16:15:00",88
178,536579,"2010-12-01 16:16:00",87
179,536580,"2010-12-01 16:17:00",88
180,536581,"2010-12-01 16:19:00",87
181,536582,"2010-12-01 16:21:00",89
182,536583,"2010-12-01 16:21:00",87
183,536584,"2010-12-01 16:22:00",87
184,536585,"2010-12-01 16:24:00",90
185,536586,"2010-12-01 16:25:00",91
186,536587,"2010-12-01 16:33:00",92
187,536588,"2010-12-01 16:49:00",93
188,536589,"2010-12-01 16:50:00",1256
189,536589,"2010-12-01 16:50:00",1051
190,536589,"2010-12-01 16:50:00",915
191,536589,"2010-12-01 16:50:00",225
192,536589,"2010-12-01 16:50:00",33
193,536590,"2010-12-01 16:52:00",94
194,536591,"2010-12-01 16:57:00",95
195,536591,"2010-12-01 16:58:00",95
196,536592,"2010-12-01 17:06:00",1256
197,536592,"2010-12-01 17:06:00",1051
198,536592,"2010-12-01 17:06:00",915
199,536592,"2010-12-01 17:06:00",225
200,536592,"2010-12-01 17:06:00",33
201,536593,"2010-12-01 17:15:00",96
202,536594,"2010-12-01 17:22:00",97
203,536595,"2010-12-01 17:24:00",98
204,536596,"2010-12-01 17:29:00",1256
205,536596,"2010-12-01 17:29:00",1051
206,536596,"2010-12-01 17:29:00",915
207,536596,"2010-12-01 17:29:00",225
208,536596,"2010-12-01 17:29:00",33
209,536597,"2010-12-01 17:35:00",99
210,536598,"2010-12-02 07:48:00",100
211,536599,"2010-12-02 07:49:00",101
212,536600,"2010-12-02 08:32:00",1
213,536601,"2010-12-02 08:33:00",1
214,536602,"2010-12-02 08:34:00",1
215,536603,"2010-12-02 08:40:00",1
216,536604,"2010-12-02 08:43:00",102
217,536605,"2010-12-02 08:52:00",103
218,C536606,"2010-12-02 09:10:00",104
219,536607,"2010-12-02 09:29:00",105
220,536608,"2010-12-02 09:37:00",106
221,536609,"2010-12-02 09:41:00",1
222,536610,"2010-12-02 09:42:00",1
223,536611,"2010-12-02 09:43:00",107
224,536612,"2010-12-02 09:44:00",1
225,536613,"2010-12-02 09:44:00",108
